algorithm,slope,intercept,r_squared
BF,0.3877992378253236,-1.95422039759982,0.9395584882905983
BFD,0.04561949424964076,-0.8820204853254038,0.6321213176939373
FF,0.4229584837867943,-2.0580710457360722,0.9481309016201229
FFD,0.04875706361238599,-0.8906260942308528,0.6514424214142779
NF,0.8964472863247508,-2.957628250420373,0.9948683428986894
