n,trial,algorithm,num_bins,total_size,waste
10,0,NF,2,1.818442352146854,0.181557647853146
10,0,FF,2,1.818442352146854,0.181557647853146
10,0,BF,2,1.818442352146854,0.181557647853146
10,0,FFD,2,1.818442352146854,0.181557647853146
10,0,BFD,2,1.8184423521468542,0.18155764785314576
10,1,NF,2,1.4513269215957698,0.5486730784042302
10,1,FF,2,1.4513269215957698,0.5486730784042302
10,1,BF,2,1.4513269215957698,0.5486730784042302
10,1,FFD,2,1.4513269215957698,0.5486730784042302
10,1,BFD,2,1.45132692159577,0.54867307840423
10,2,NF,2,1.4647528488681338,0.5352471511318662
10,2,FF,2,1.4647528488681338,0.5352471511318662
10,2,BF,2,1.4647528488681338,0.5352471511318662
10,2,FFD,2,1.4647528488681338,0.5352471511318662
10,2,BFD,2,1.4647528488681338,0.5352471511318662
10,3,NF,2,1.7876124986005086,0.21238750139949136
10,3,FF,2,1.7876124986005086,0.21238750139949136
10,3,BF,2,1.7876124986005086,0.21238750139949136
10,3,FFD,2,1.7876124986005086,0.21238750139949136
10,3,BFD,2,1.7876124986005086,0.21238750139949136
10,4,NF,3,1.983725537059676,1.016274462940324
10,4,FF,3,1.983725537059676,1.016274462940324
10,4,BF,3,1.983725537059676,1.016274462940324
10,4,FFD,2,1.983725537059676,0.016274462940323975
10,4,BFD,2,1.983725537059676,0.016274462940323975
10,5,NF,2,1.9163144766256495,0.08368552337435053
10,5,FF,2,1.9163144766256495,0.08368552337435053
10,5,BF,2,1.9163144766256495,0.08368552337435053
10,5,FFD,2,1.9163144766256495,0.08368552337435053
10,5,BFD,2,1.9163144766256495,0.08368552337435053
10,6,NF,2,1.855435146943082,0.1445648530569179
10,6,FF,2,1.855435146943082,0.1445648530569179
10,6,BF,2,1.855435146943082,0.1445648530569179
10,6,FFD,2,1.855435146943082,0.1445648530569179
10,6,BFD,2,1.8554351469430823,0.14456485305691769
10,7,NF,2,1.5248985326097073,0.4751014673902927
10,7,FF,2,1.5248985326097073,0.4751014673902927
10,7,BF,2,1.5248985326097073,0.4751014673902927
10,7,FFD,2,1.5248985326097073,0.4751014673902927
10,7,BFD,2,1.524898532609707,0.4751014673902929
10,8,NF,2,1.5804761151412787,0.4195238848587213
10,8,FF,2,1.5804761151412787,0.4195238848587213
10,8,BF,2,1.5804761151412787,0.4195238848587213
10,8,FFD,2,1.5804761151412787,0.4195238848587213
10,8,BFD,2,1.5804761151412787,0.4195238848587213
10,9,NF,2,1.4949335612212813,0.5050664387787187
10,9,FF,2,1.4949335612212813,0.5050664387787187
10,9,BF,2,1.4949335612212813,0.5050664387787187
10,9,FFD,2,1.4949335612212813,0.5050664387787187
10,9,BFD,2,1.4949335612212813,0.5050664387787187
10,10,NF,2,1.7665350373433357,0.23346496265666428
10,10,FF,2,1.7665350373433357,0.23346496265666428
10,10,BF,2,1.7665350373433357,0.23346496265666428
10,10,FFD,2,1.7665350373433357,0.23346496265666428
10,10,BFD,2,1.7665350373433362,0.23346496265666383
10,11,NF,2,1.645179137605756,0.35482086239424393
10,11,FF,2,1.645179137605756,0.35482086239424393
10,11,BF,2,1.645179137605756,0.35482086239424393
10,11,FFD,2,1.645179137605756,0.35482086239424393
10,11,BFD,2,1.6451791376057558,0.35482086239424415
10,12,NF,3,2.1851133056578447,0.8148866943421553
10,12,FF,3,2.1851133056578447,0.8148866943421553
10,12,BF,3,2.1851133056578447,0.8148866943421553
10,12,FFD,3,2.1851133056578447,0.8148866943421553
10,12,BFD,3,2.185113305657845,0.8148866943421549
10,13,NF,2,1.75729763404457,0.24270236595542993
10,13,FF,2,1.75729763404457,0.24270236595542993
10,13,BF,2,1.75729763404457,0.24270236595542993
10,13,FFD,2,1.75729763404457,0.24270236595542993
10,13,BFD,2,1.75729763404457,0.24270236595542993
10,14,NF,2,1.4790625081877118,0.5209374918122882
10,14,FF,2,1.4790625081877118,0.5209374918122882
10,14,BF,2,1.4790625081877118,0.5209374918122882
10,14,FFD,2,1.4790625081877118,0.5209374918122882
10,14,BFD,2,1.4790625081877118,0.5209374918122882
10,15,NF,2,1.408790867281691,0.5912091327183091
10,15,FF,2,1.408790867281691,0.5912091327183091
10,15,BF,2,1.408790867281691,0.5912091327183091
10,15,FFD,2,1.408790867281691,0.5912091327183091
10,15,BFD,2,1.4087908672816911,0.5912091327183089
10,16,NF,3,2.263124201390247,0.7368757986097529
10,16,FF,3,2.263124201390247,0.7368757986097529
10,16,BF,3,2.263124201390247,0.7368757986097529
10,16,FFD,3,2.263124201390247,0.7368757986097529
10,16,BFD,3,2.263124201390247,0.7368757986097529
10,17,NF,2,1.4270972239893873,0.5729027760106127
10,17,FF,2,1.4270972239893873,0.5729027760106127
10,17,BF,2,1.4270972239893873,0.5729027760106127
10,17,FFD,2,1.4270972239893873,0.5729027760106127
10,17,BFD,2,1.427097223989387,0.5729027760106129
10,18,NF,3,1.8657024259591914,1.1342975740408086
10,18,FF,2,1.8657024259591914,0.13429757404080855
10,18,BF,2,1.8657024259591914,0.13429757404080855
10,18,FFD,2,1.8657024259591914,0.13429757404080855
10,18,BFD,2,1.8657024259591912,0.13429757404080878
10,19,NF,3,2.1103327605018465,0.8896672394981535
10,19,FF,3,2.1103327605018465,0.8896672394981535
10,19,BF,3,2.1103327605018465,0.8896672394981535
10,19,FFD,3,2.1103327605018465,0.8896672394981535
10,19,BFD,3,2.1103327605018465,0.8896672394981535
100,0,NF,21,17.297651360237744,3.7023486397622563
100,0,FF,18,17.297651360237744,0.7023486397622563
100,0,BF,18,17.297651360237744,0.7023486397622563
100,0,FFD,18,17.297651360237744,0.7023486397622563
100,0,BFD,18,17.297651360237758,0.702348639762242
100,1,NF,21,18.20715113610426,2.7928488638957383
100,1,FF,19,18.20715113610426,0.7928488638957383
100,1,BF,19,18.20715113610426,0.7928488638957383
100,1,FFD,19,18.20715113610426,0.7928488638957383
100,1,BFD,19,18.207151136104258,0.7928488638957418
100,2,NF,19,16.802527148914322,2.197472851085678
100,2,FF,17,16.802527148914322,0.1974728510856778
100,2,BF,17,16.802527148914322,0.1974728510856778
100,2,FFD,17,16.802527148914322,0.1974728510856778
100,2,BFD,17,16.802527148914326,0.19747285108567425
100,3,NF,20,18.10316660006945,1.89683339993055
100,3,FF,19,18.10316660006945,0.89683339993055
100,3,BF,19,18.10316660006945,0.89683339993055
100,3,FFD,19,18.10316660006945,0.89683339993055
100,3,BFD,19,18.103166600069457,0.8968333999305429
100,4,NF,19,16.909794637658795,2.090205362341205
100,4,FF,18,16.909794637658795,1.0902053623412051
100,4,BF,18,16.909794637658795,1.0902053623412051
100,4,FFD,17,16.909794637658795,0.09020536234120513
100,4,BFD,17,16.9097946376588,0.09020536234120158
100,5,NF,20,17.341018305950442,2.658981694049558
100,5,FF,18,17.341018305950442,0.6589816940495581
100,5,BF,18,17.341018305950442,0.6589816940495581
100,5,FFD,18,17.341018305950442,0.6589816940495581
100,5,BFD,18,17.34101830595044,0.6589816940495616
100,6,NF,20,17.669884933791497,2.330115066208503
100,6,FF,18,17.669884933791497,0.33011506620850284
100,6,BF,18,17.669884933791497,0.33011506620850284
100,6,FFD,18,17.669884933791497,0.33011506620850284
100,6,BFD,18,17.669884933791497,0.33011506620850284
100,7,NF,19,17.006658404164405,1.9933415958355951
100,7,FF,18,17.006658404164405,0.9933415958355951
100,7,BF,18,17.006658404164405,0.9933415958355951
100,7,FFD,18,17.006658404164405,0.9933415958355951
100,7,BFD,18,17.0066584041644,0.9933415958355987
100,8,NF,20,17.686091010610514,2.3139089893894855
100,8,FF,18,17.686091010610514,0.3139089893894855
100,8,BF,18,17.686091010610514,0.3139089893894855
100,8,FFD,18,17.686091010610514,0.3139089893894855
100,8,BFD,18,17.68609101061052,0.3139089893894784
100,9,NF,23,20.141949533712943,2.8580504662870574
100,9,FF,21,20.141949533712943,0.8580504662870574
100,9,BF,21,20.141949533712943,0.8580504662870574
100,9,FFD,21,20.141949533712943,0.8580504662870574
100,9,BFD,21,20.14194953371294,0.8580504662870609
100,10,NF,20,16.805097650666134,3.1949023493338657
100,10,FF,17,16.805097650666134,0.19490234933386574
100,10,BF,18,16.805097650666134,1.1949023493338657
100,10,FFD,17,16.805097650666134,0.19490234933386574
100,10,BFD,17,16.805097650666134,0.19490234933386574
100,11,NF,20,17.201151246056472,2.7988487539435276
100,11,FF,18,17.201151246056472,0.7988487539435276
100,11,BF,18,17.201151246056472,0.7988487539435276
100,11,FFD,18,17.201151246056472,0.7988487539435276
100,11,BFD,18,17.201151246056476,0.7988487539435241
100,12,NF,18,15.582783867847803,2.4172161321521966
100,12,FF,16,15.582783867847803,0.41721613215219655
100,12,BF,16,15.582783867847803,0.41721613215219655
100,12,FFD,16,15.582783867847803,0.41721613215219655
100,12,BFD,16,15.582783867847805,0.4172161321521948
100,13,NF,19,17.414850685638047,1.5851493143619528
100,13,FF,18,17.414850685638047,0.5851493143619528
100,13,BF,18,17.414850685638047,0.5851493143619528
100,13,FFD,18,17.414850685638047,0.5851493143619528
100,13,BFD,18,17.41485068563804,0.5851493143619599
100,14,NF,21,18.446271799865514,2.5537282001344863
100,14,FF,19,18.446271799865514,0.5537282001344863
100,14,BF,19,18.446271799865514,0.5537282001344863
100,14,FFD,19,18.446271799865514,0.5537282001344863
100,14,BFD,19,18.446271799865514,0.5537282001344863
100,15,NF,22,19.53697718263977,2.4630228173602298
100,15,FF,21,19.53697718263977,1.4630228173602298
100,15,BF,20,19.53697718263977,0.46302281736022977
100,15,FFD,20,19.53697718263977,0.46302281736022977
100,15,BFD,20,19.536977182639763,0.46302281736023687
100,16,NF,21,18.306197495124117,2.693802504875883
100,16,FF,19,18.306197495124117,0.6938025048758831
100,16,BF,19,18.306197495124117,0.6938025048758831
100,16,FFD,19,18.306197495124117,0.6938025048758831
100,16,BFD,19,18.306197495124117,0.6938025048758831
100,17,NF,21,18.12642223443482,2.87357776556518
100,17,FF,19,18.12642223443482,0.8735777655651802
100,17,BF,19,18.12642223443482,0.8735777655651802
100,17,FFD,19,18.12642223443482,0.8735777655651802
100,17,BFD,19,18.126422234434813,0.8735777655651873
100,18,NF,20,16.994789674295767,3.0052103257042333
100,18,FF,18,16.994789674295767,1.0052103257042333
100,18,BF,18,16.994789674295767,1.0052103257042333
100,18,FFD,18,16.994789674295767,1.0052103257042333
100,18,BFD,18,16.994789674295777,1.0052103257042226
100,19,NF,21,17.71353471689762,3.2864652831023804
100,19,FF,19,17.71353471689762,1.2864652831023804
100,19,BF,19,17.71353471689762,1.2864652831023804
100,19,FFD,18,17.71353471689762,0.2864652831023804
100,19,BFD,18,17.71353471689761,0.28646528310239106
2500,0,NF,498,440.0186511039007,57.98134889609929
2500,0,FF,443,440.0186511039007,2.9813488960992913
2500,0,BF,443,440.0186511039007,2.9813488960992913
2500,0,FFD,441,440.0186511039007,0.9813488960992913
2500,0,BFD,441,440.01865110390156,0.9813488960984387
2500,1,NF,497,441.9362322351466,55.063767764853424
2500,1,FF,445,441.9362322351466,3.0637677648534236
2500,1,BF,445,441.9362322351466,3.0637677648534236
2500,1,FFD,443,441.9362322351466,1.0637677648534236
2500,1,BFD,442,441.9362322351465,0.06376776485348046
2500,2,NF,485,428.66408844207126,56.33591155792874
2500,2,FF,432,428.66408844207126,3.335911557928739
2500,2,BF,431,428.66408844207126,2.335911557928739
2500,2,FFD,429,428.66408844207126,0.33591155792873906
2500,2,BFD,429,428.6640884420715,0.3359115579285117
2500,3,NF,495,436.65017277920714,58.34982722079286
2500,3,FF,440,436.65017277920714,3.3498272207928608
2500,3,BF,439,436.65017277920714,2.3498272207928608
2500,3,FFD,437,436.65017277920714,0.34982722079286077
2500,3,BFD,437,436.6501727792081,0.34982722079189443
2500,4,NF,496,436.20646796529337,59.79353203470663
2500,4,FF,440,436.20646796529337,3.7935320347066295
2500,4,BF,440,436.20646796529337,3.7935320347066295
2500,4,FFD,437,436.20646796529337,0.7935320347066295
2500,4,BFD,437,436.2064679652939,0.7935320347061179
2500,5,NF,489,433.0069486690828,55.99305133091718
2500,5,FF,436,433.0069486690828,2.993051330917183
2500,5,BF,435,433.0069486690828,1.993051330917183
2500,5,FFD,434,433.0069486690828,0.9930513309171829
2500,5,BFD,434,433.00694866908213,0.993051330917865
2500,6,NF,494,438.70581028056193,55.294189719438066
2500,6,FF,442,438.70581028056193,3.294189719438066
2500,6,BF,442,438.70581028056193,3.294189719438066
2500,6,FFD,439,438.70581028056193,0.2941897194380658
2500,6,BFD,439,438.7058102805618,0.2941897194381795
2500,7,NF,498,442.7354614535397,55.2645385464603
2500,7,FF,446,442.7354614535397,3.264538546460301
2500,7,BF,446,442.7354614535397,3.264538546460301
2500,7,FFD,443,442.7354614535397,0.26453854646030095
2500,7,BFD,443,442.73546145353964,0.2645385464603578
2500,8,NF,507,445.33192461565363,61.668075384346366
2500,8,FF,449,445.33192461565363,3.6680753843463663
2500,8,BF,448,445.33192461565363,2.6680753843463663
2500,8,FFD,446,445.33192461565363,0.6680753843463663
2500,8,BFD,446,445.3319246156548,0.6680753843451726
2500,9,NF,507,449.0172217616399,57.98277823836008
2500,9,FF,452,449.0172217616399,2.9827782383600834
2500,9,BF,452,449.0172217616399,2.9827782383600834
2500,9,FFD,450,449.0172217616399,0.9827782383600834
2500,9,BFD,450,449.01722176164037,0.9827782383596286
2500,10,NF,502,441.9226288720392,60.07737112796082
2500,10,FF,445,441.9226288720392,3.0773711279608165
2500,10,BF,445,441.9226288720392,3.0773711279608165
2500,10,FFD,442,441.9226288720392,0.07737112796081647
2500,10,BFD,442,441.9226288720394,0.07737112796058909
2500,11,NF,494,438.6341173604751,55.3658826395249
2500,11,FF,442,438.6341173604751,3.365882639524898
2500,11,BF,442,438.6341173604751,3.365882639524898
2500,11,FFD,439,438.6341173604751,0.36588263952489797
2500,11,BFD,439,438.63411736047436,0.36588263952563693
2500,12,NF,500,441.49167468405716,58.50832531594284
2500,12,FF,445,441.49167468405716,3.508325315942841
2500,12,BF,445,441.49167468405716,3.508325315942841
2500,12,FFD,442,441.49167468405716,0.5083253159428409
2500,12,BFD,442,441.49167468405744,0.5083253159425567
2500,13,NF,494,434.70609604032916,59.29390395967084
2500,13,FF,438,434.70609604032916,3.2939039596708426
2500,13,BF,437,434.70609604032916,2.2939039596708426
2500,13,FFD,435,434.70609604032916,0.2939039596708426
2500,13,BFD,435,434.7060960403296,0.29390395967038785
2500,14,NF,495,436.19461922819727,58.80538077180273
2500,14,FF,440,436.19461922819727,3.8053807718027315
2500,14,BF,439,436.19461922819727,2.8053807718027315
2500,14,FFD,437,436.19461922819727,0.8053807718027315
2500,14,BFD,437,436.1946192281974,0.8053807718026178
2500,15,NF,489,432.13149614188706,56.868503858112945
2500,15,FF,436,432.13149614188706,3.8685038581129447
2500,15,BF,435,432.13149614188706,2.8685038581129447
2500,15,FFD,433,432.13149614188706,0.8685038581129447
2500,15,BFD,433,432.13149614188814,0.8685038581118647
2500,16,NF,497,437.173636291258,59.82636370874201
2500,16,FF,440,437.173636291258,2.826363708742008
2500,16,BF,440,437.173636291258,2.826363708742008
2500,16,FFD,438,437.173636291258,0.8263637087420079
2500,16,BFD,438,437.17363629125856,0.8263637087414395
2500,17,NF,498,438.056594808852,59.943405191147974
2500,17,FF,441,438.056594808852,2.943405191147974
2500,17,BF,441,438.056594808852,2.943405191147974
2500,17,FFD,439,438.056594808852,0.9434051911479742
2500,17,BFD,439,438.0565948088505,0.9434051911495089
2500,18,NF,492,434.71801100147405,57.28198899852595
2500,18,FF,438,434.71801100147405,3.2819889985259465
2500,18,BF,437,434.71801100147405,2.2819889985259465
2500,18,FFD,435,434.71801100147405,0.2819889985259465
2500,18,BFD,435,434.71801100147337,0.2819889985266286
2500,19,NF,488,432.11052234033315,55.88947765966685
2500,19,FF,435,432.11052234033315,2.889477659666852
2500,19,BF,435,432.11052234033315,2.889477659666852
2500,19,FFD,433,432.11052234033315,0.8894776596668521
2500,19,BFD,433,432.11052234033315,0.8894776596668521
5000,0,NF,992,873.8903387036428,118.10966129635722
5000,0,FF,879,873.8903387036428,5.109661296357217
5000,0,BF,879,873.8903387036428,5.109661296357217
5000,0,FFD,874,873.8903387036428,0.109661296357217
5000,0,BFD,874,873.890338703641,0.10966129635903599
5000,1,NF,979,866.8070880781245,112.19291192187552
5000,1,FF,872,866.8070880781245,5.19291192187552
5000,1,BF,871,866.8070880781245,4.19291192187552
5000,1,FFD,867,866.8070880781245,0.19291192187552042
5000,1,BFD,867,866.8070880781244,0.1929119218756341
5000,2,NF,977,866.255870164025,110.74412983597495
5000,2,FF,871,866.255870164025,4.744129835974945
5000,2,BF,869,866.255870164025,2.7441298359749453
5000,2,FFD,867,866.255870164025,0.7441298359749453
5000,2,BFD,867,866.2558701640216,0.7441298359783559
5000,3,NF,994,883.7466972823155,110.2533027176845
5000,3,FF,889,883.7466972823155,5.253302717684505
5000,3,BF,888,883.7466972823155,4.253302717684505
5000,3,FFD,884,883.7466972823155,0.2533027176845053
5000,3,BFD,884,883.7466972823146,0.2533027176854148
5000,4,NF,981,869.0332580679611,111.96674193203887
5000,4,FF,874,869.0332580679611,4.966741932038872
5000,4,BF,873,869.0332580679611,3.9667419320388717
5000,4,FFD,870,869.0332580679611,0.9667419320388717
5000,4,BFD,870,869.0332580679625,0.9667419320375075
5000,5,NF,985,871.6097046309973,113.39029536900273
5000,5,FF,877,871.6097046309973,5.390295369002729
5000,5,BF,876,871.6097046309973,4.390295369002729
5000,5,FFD,872,871.6097046309973,0.3902953690027289
5000,5,BFD,872,871.609704630997,0.39029536900295625
5000,6,NF,998,884.6101967774981,113.38980322250188
5000,6,FF,890,884.6101967774981,5.389803222501882
5000,6,BF,889,884.6101967774981,4.389803222501882
5000,6,FFD,885,884.6101967774981,0.3898032225018824
5000,6,BFD,885,884.6101967774973,0.3898032225026782
5000,7,NF,992,874.7662723306693,117.23372766933073
5000,7,FF,880,874.7662723306693,5.233727669330733
5000,7,BF,879,874.7662723306693,4.233727669330733
5000,7,FFD,875,874.7662723306693,0.23372766933073308
5000,7,BFD,875,874.7662723306679,0.23372766933209732
5000,8,NF,982,867.1224385437483,114.87756145625167
5000,8,FF,872,867.1224385437483,4.877561456251669
5000,8,BF,871,867.1224385437483,3.8775614562516694
5000,8,FFD,868,867.1224385437483,0.8775614562516694
5000,8,BFD,868,867.1224385437481,0.8775614562518967
5000,9,NF,994,875.2718094910181,118.72819050898192
5000,9,FF,881,875.2718094910181,5.728190508981925
5000,9,BF,879,875.2718094910181,3.7281905089819247
5000,9,FFD,876,875.2718094910181,0.7281905089819247
5000,9,BFD,876,875.271809491018,0.7281905089820384
5000,10,NF,990,875.1425449834751,114.85745501652491
5000,10,FF,881,875.1425449834751,5.857455016524909
5000,10,BF,880,875.1425449834751,4.857455016524909
5000,10,FFD,876,875.1425449834751,0.8574550165249093
5000,10,BFD,876,875.1425449834752,0.8574550165247956
5000,11,NF,991,879.5388949965777,111.46110500342229
5000,11,FF,885,879.5388949965777,5.46110500342229
5000,11,BF,883,879.5388949965777,3.46110500342229
5000,11,FFD,880,879.5388949965777,0.4611050034222899
5000,11,BFD,880,879.538894996577,0.461105003422972
5000,12,NF,997,882.6684105353615,114.33158946463845
5000,12,FF,888,882.6684105353615,5.331589464638455
5000,12,BF,887,882.6684105353615,4.331589464638455
5000,12,FFD,883,882.6684105353615,0.33158946463845496
5000,12,BFD,883,882.6684105353631,0.33158946463686334
5000,13,NF,1000,883.3704201694763,116.62957983052365
5000,13,FF,889,883.3704201694763,5.629579830523653
5000,13,BF,888,883.3704201694763,4.629579830523653
5000,13,FFD,884,883.3704201694763,0.6295798305236531
5000,13,BFD,884,883.3704201694798,0.6295798305202425
5000,14,NF,1008,890.2572967469915,117.74270325300847
5000,14,FF,896,890.2572967469915,5.742703253008472
5000,14,BF,895,890.2572967469915,4.742703253008472
5000,14,FFD,891,890.2572967469915,0.7427032530084716
5000,14,BFD,891,890.2572967469923,0.7427032530076758
5000,15,NF,979,870.0971288186496,108.9028711813504
5000,15,FF,874,870.0971288186496,3.902871181350406
5000,15,BF,873,870.0971288186496,2.902871181350406
5000,15,FFD,871,870.0971288186496,0.902871181350406
5000,15,BFD,871,870.0971288186515,0.9028711813484733
5000,16,NF,991,876.519544520759,114.48045547924096
5000,16,FF,882,876.519544520759,5.480455479240959
5000,16,BF,881,876.519544520759,4.480455479240959
5000,16,FFD,877,876.519544520759,0.480455479240959
5000,16,BFD,877,876.5195445207586,0.48045547924141374
5000,17,NF,988,870.795025397951,117.20497460204899
5000,17,FF,876,870.795025397951,5.204974602048992
5000,17,BF,875,870.795025397951,4.204974602048992
5000,17,FFD,871,870.795025397951,0.20497460204899198
5000,17,BFD,871,870.7950253979543,0.20497460204569506
5000,18,NF,990,874.0440877936321,115.95591220636788
5000,18,FF,879,874.0440877936321,4.955912206367884
5000,18,BF,878,874.0440877936321,3.955912206367884
5000,18,FFD,875,874.0440877936321,0.9559122063678842
5000,18,BFD,875,874.0440877936328,0.9559122063672021
5000,19,NF,992,875.0875905801784,116.91240941982164
5000,19,FF,881,875.0875905801784,5.912409419821643
5000,19,BF,880,875.0875905801784,4.912409419821643
5000,19,FFD,876,875.0875905801784,0.9124094198216426
5000,19,BFD,876,875.0875905801781,0.91240941982187
10000,0,NF,1977,1750.9622143691488,226.0377856308512
10000,0,FF,1760,1750.9622143691488,9.037785630851204
10000,0,BF,1757,1750.9622143691488,6.037785630851204
10000,0,FFD,1752,1750.9622143691488,1.0377856308512037
10000,0,BFD,1752,1750.9622143691436,1.0377856308564333
10000,1,NF,1966,1734.5899233908935,231.41007660910645
10000,1,FF,1743,1734.5899233908935,8.410076609106454
10000,1,BF,1741,1734.5899233908935,6.410076609106454
10000,1,FFD,1735,1734.5899233908935,0.41007660910645427
10000,1,BFD,1735,1734.5899233908906,0.41007660910941013
10000,2,NF,1970,1740.0589905388256,229.94100946117442
10000,2,FF,1748,1740.0589905388256,7.941009461174417
10000,2,BF,1747,1740.0589905388256,6.941009461174417
10000,2,FFD,1741,1740.0589905388256,0.9410094611744171
10000,2,BFD,1741,1740.0589905388265,0.9410094611735076
10000,3,NF,1995,1763.058377854241,231.94162214575908
10000,3,FF,1772,1763.058377854241,8.941622145759084
10000,3,BF,1771,1763.058377854241,7.941622145759084
10000,3,FFD,1764,1763.058377854241,0.9416221457590837
10000,3,BFD,1764,1763.0583778542432,0.9416221457568099
10000,4,NF,1956,1732.9911109962832,223.00888900371683
10000,4,FF,1741,1732.9911109962832,8.008889003716831
10000,4,BF,1740,1732.9911109962832,7.008889003716831
10000,4,FFD,1734,1732.9911109962832,1.0088890037168312
10000,4,BFD,1734,1732.9911109962907,1.0088890037093279
10000,5,NF,1980,1745.9169660292746,234.0830339707254
10000,5,FF,1754,1745.9169660292746,8.08303397072541
